gene_name	louvCluster	DEtest_unadjP.05_forCluster	Nsigmodels_forCluster
SLC25A18	5HT.1	E4_noAncestry_noRin	3
NCALD	5HT.1	E4_noAncestry_noRin	4
AP3M2	5HT.1	E4_noAncestry_noRin	4
DDX25	5HT.1	E4_noAncestry_noRin	3
PLPP3	5HT.1	E4_noAncestry_noRin	4
CD74	5HT.1	E4_noAncestry_noRin	4
KLF7	5HT.1	E4_noAncestry_noRin	4
JPX	5HT.1	E4_noAncestry_noRin	4
COMMD6	5HT.1	E4_noAncestry_noRin	4
LSM3	5HT.1	E4_noAncestry_noRin	3
MVK	5HT.1	E4_noAncestry_noRin	4
ENTPD3	5HT.1	E4_noAncestry_noRin	3
PRR12	5HT.1	E4_noAncestry_noRin	4
HBA2	5HT.1	E4_noAncestry_noRin	4
SHOC2	5HT.1	E4_noAncestry_noRin	4
NOC2L	5HT.1	E4_noAncestry_noRin	4
LIX1	5HT.1	E4_noAncestry_noRin	3
C16orf58	5HT.1	E4_noAncestry_noRin	4
MTRNR2L8	5HT.1	E4_noAncestry_noRin	2
TLN2	5HT.1	E4_noAncestry_noRin	4
SMIM30	5HT.1	E4_noAncestry_noRin	4
AGAP2	5HT.1	E4_noAncestry_noRin	4
RIC8A	5HT.1	E4_noAncestry_noRin	4
RNF150	5HT.1	E4_noAncestry_noRin	3
MTRNR2L6	5HT.1	E4_noAncestry_noRin	4
YBX1	5HT.1	E4_noAncestry_noRin	4
SSR2	5HT.1	E4_noAncestry_noRin	4
GRIA3	5HT.1	E4_noAncestry_noRin	4
PLXNC1	5HT.1	E4_noAncestry_noRin	4
RBMS1	5HT.1	E4_noAncestry_noRin	4
GRIN1	5HT.1	E4_noAncestry_noRin	4
EBPL	5HT.1	E4_noAncestry_noRin	4
DRG2	5HT.1	E4_noAncestry_noRin	3
SYT7	5HT.1	E4_noAncestry_noRin	4
EML2	5HT.1	E4_noAncestry_noRin	4
PBXIP1	5HT.1	E4_noAncestry_noRin	3
WLS	5HT.1	E4_noAncestry_noRin	3
KCNJ10	5HT.1	E4_noAncestry_noRin	4
TMEM123	5HT.1	E4_noAncestry_noRin	4
SYT12	5HT.1	E4_noAncestry_noRin	4
HLA-DPA1	5HT.1	E4_noAncestry_noRin	3
IGSF8	5HT.1	E4_noAncestry_noRin	4
RIDA	5HT.1	E4_noAncestry_noRin	4
GGT7	5HT.1	E4_noAncestry_noRin	4
RAP1GAP2	5HT.1	E4_noAncestry_noRin	4
S100A1	5HT.1	E4_noAncestry_noRin	3
EBF3	5HT.1	E4_noAncestry_noRin	4
TAGLN2	5HT.1	E4_noAncestry_noRin	3
PLPPR5	5HT.1	E4_noAncestry_noRin	4
MYBPC1	5HT.1	E4_noAncestry_noRin	4
KIF3A	5HT.1	E4_noAncestry_noRin	4
NDUFS3	5HT.1	E4_noAncestry_noRin	4
NDUFAF8	5HT.1	E4_noAncestry_noRin	3
OLA1	5HT.1	E4_noAncestry_noRin	4
RNH1	5HT.1	E4_noAncestry_noRin	4
IDH2	5HT.1	E4_noAncestry_noRin	3
ZC2HC1A	5HT.1	E4_noAncestry_noRin	3
MFAP1	5HT.1	E4_noAncestry_noRin	3
OSGEP	5HT.1	E4_noAncestry_noRin	2
NLGN4X	5HT.1	E4_noAncestry_noRin	4
C3	5HT.1	E4_noAncestry_noRin	3
HADHB	5HT.1	E4_noAncestry_noRin	4
MRPL54	5HT.1	E4_noAncestry_noRin	4
TMEM255A	5HT.1	E4_noAncestry_noRin	4
GNAZ	5HT.1	E4_noAncestry_noRin	4
LIMK1	5HT.1	E4_noAncestry_noRin	4
PRKAR2A	5HT.1	E4_noAncestry_noRin	3
ALDH1L1	5HT.1	E4_noAncestry_noRin	3
MRPL33	5HT.1	E4_noAncestry_noRin	4
TMEM178A	5HT.1	E4_noAncestry_noRin	4
NR2F2	5HT.1	E4_noAncestry_noRin	3
MRPL32	5HT.1	E4_noAncestry_noRin	3
CDK5R2	5HT.1	E4_noAncestry_noRin	4
PON2	5HT.1	E4_noAncestry_noRin	4
SLC1A2	5HT.1	E4_noAncestry_noRin	4
ZMIZ2	5HT.1	E4_noAncestry_noRin	3
DVL1	5HT.1	E4_noAncestry_noRin	4
SPARCL1	5HT.1	E4_noAncestry_noRin	4
TTYH1	5HT.1	E4_noAncestry_noRin	4
PDS5B	5HT.1	E4_noAncestry_noRin	4
GMPR	5HT.1	E4_noAncestry_noRin	4
AC093323.1	5HT.1	E4_noAncestry_noRin	3
SCRT1	5HT.1	E4_noAncestry_noRin	4
ZEB1	5HT.1	E4_noAncestry_noRin	3
ME1	5HT.1	E4_noAncestry_noRin	4
TNFRSF21	5HT.1	E4_noAncestry_noRin	4
QSOX1	5HT.1	E4_noAncestry_noRin	4
ADAP1	5HT.1	E4_noAncestry_noRin	4
NUDT9	5HT.1	E4_noAncestry_noRin	3
ADD3	5HT.1	E4_noAncestry_noRin	4
SDF2L1	5HT.1	E4_noAncestry_noRin	2
UNC50	5HT.1	E4_noAncestry_noRin	3
HSPE1	5HT.1	E4_noAncestry_noRin	4
CACNG2	5HT.1	E4_noAncestry_noRin	3
PLCG2	5HT.1	E4_noAncestry_noRin	4
HSPA5	5HT.1	E4_noAncestry_noRin	4
SELENOI	5HT.1	E4_noAncestry_noRin	3
ARHGEF11	5HT.1	E4_noAncestry_noRin	3
TRIM3	5HT.1	E4_noAncestry_noRin	3
RAPGEFL1	5HT.1	E4_noAncestry_noRin	3
WASHC5	5HT.1	E4_noAncestry_noRin	3
PEX26	5HT.1	E4_noAncestry_noRin	3
STMN4	5HT.1	E4_noAncestry_noRin	3
UBAC1	5HT.1	E4_noAncestry_noRin	3
PPP2R5A	5HT.1	E4_noAncestry_noRin	3
UBE2J2	5HT.1	E4_noAncestry_noRin	3
THOC2	5HT.1	E4_noAncestry_noRin	3
DMWD	5HT.1	E4_noAncestry_noRin	3
ESYT2	5HT.1	E4_noAncestry_noRin	3
ZFYVE27	5HT.1	E4_noAncestry_noRin	3
SOX9	5HT.1	E4_noAncestry_noRin	3
GNAO1	5HT.1	E4_noAncestry_noRin	4
FANCL	5HT.1	E4_noAncestry_noRin	3
SH3GLB2	5HT.1	E4_noAncestry_noRin	4
PRRT3	5HT.1	E4_noAncestry_noRin	4
CREG1	5HT.1	E4_noAncestry_noRin	3
MTIF3	5HT.1	E4_noAncestry_noRin	3
PNOC	5HT.1	E4_noAncestry_noRin	3
MRPS18C	5HT.1	E4_noAncestry_noRin	4
KLF6	5HT.1	E4_noAncestry_noRin	3
RGS8	5HT.1	E4_noAncestry_noRin	3
CHCHD1	5HT.1	E4_noAncestry_noRin	3
SLC8A2	5HT.1	E4_noAncestry_noRin	4
B3GALT2	5HT.1	E4_noAncestry_noRin	3
ID4	5HT.1	E4_noAncestry_noRin	4
TNPO2	5HT.1	E4_noAncestry_noRin	4
LGALS8	5HT.1	E4_noAncestry_noRin	3
GPATCH8	5HT.1	E4_noAncestry_noRin	3
PCDH19	5HT.1	E4_noAncestry_noRin	4
AGT	5HT.1	E4_noAncestry_noRin	4
ARF4	5HT.1	E4_noAncestry_noRin	3
TNS3	5HT.1	E4_noAncestry_noRin	3
ITGA3	5HT.1	E4_noAncestry_noRin	3
CNDP2	5HT.1	E4_noAncestry_noRin	4
PTGDS	5HT.1	E4_noAncestry_noRin	4
TAB2	5HT.1	E4_noAncestry_noRin	3
COA6	5HT.1	E4_noAncestry_noRin	3
RBM18	5HT.1	E4_noAncestry_noRin	3
TTYH3	5HT.1	E4_noAncestry_noRin	3
UBALD1	5HT.1	E4_noAncestry_noRin	3
QKI	5HT.1	E4_noAncestry_noRin	4
HLA-DRA	5HT.1	E4_noAncestry_noRin	3
RNF208	5HT.1	E4_noAncestry_noRin	4
CST3	5HT.1	E4_noAncestry_noRin	3
AC010642.2	5HT.1	E4_noAncestry_noRin	3
C1QTNF4	5HT.1	E4_noAncestry_noRin	3
GSTT2B	5HT.1	E4_noAncestry_noRin	3
EFHD2	5HT.1	E4_noAncestry_noRin	4
NDUFB3	5HT.1	E4_noAncestry_noRin	4
STRN3	5HT.1	E4_noAncestry_noRin	2
COX7A1	5HT.1	E4_noAncestry_noRin	2
CADM3	5HT.1	E4_noAncestry_noRin	4
PITPNC1	5HT.1	E4_noAncestry_noRin	3
HLA-C	5HT.1	E4_noAncestry_noRin	3
DHCR24	5HT.1	E4_noAncestry_noRin	4
ZBTB44	5HT.1	E4_noAncestry_noRin	3
HIBCH	5HT.1	E4_noAncestry_noRin	2
MPI	5HT.1	E4_noAncestry_noRin	1
FAM234A	5HT.1	E4_noAncestry_noRin	3
FXYD1	5HT.1	E4_noAncestry_noRin	3
GSG1L	5HT.1	E4_noAncestry_noRin	2
CLPB	5HT.1	E4_noAncestry_noRin	3
PSAT1	5HT.1	E4_noAncestry_noRin	3
PIGT	5HT.1	E4_noAncestry_noRin	3
BRD4	5HT.1	E4_noAncestry_noRin	4
ENHO	5HT.1	E4_noAncestry_noRin	3
SAR1A	5HT.1	E4_noAncestry_noRin	3
ACTN4	5HT.1	E4_noAncestry_noRin	3
SMIM26	5HT.1	E4_noAncestry_noRin	3
ZKSCAN1	5HT.1	E4_noAncestry_noRin	3
CACNG8	5HT.1	E4_noAncestry_noRin	3
RASGEF1B	5HT.1	E4_noAncestry_noRin	2
TTC3	5HT.1	E4_noAncestry_noRin	2
PPP1R12C	5HT.1	E4_noAncestry_noRin	3
KCTD17	5HT.1	E4_noAncestry_noRin	3
UMAD1	5HT.1	E4_noAncestry_noRin	2
MALSU1	5HT.1	E4_noAncestry_noRin	3
MRAP2	5HT.1	E4_noAncestry_noRin	4
CDH13	5HT.1	E4_noAncestry_noRin	4
MGLL	5HT.1	E4_noAncestry_noRin	2
MRPL13	5HT.1	E4_noAncestry_noRin	3
SCN7A	5HT.1	E4_noAncestry_noRin	2
MGRN1	5HT.1	E4_noAncestry_noRin	4
CUEDC1	5HT.1	E4_noAncestry_noRin	2
SNAPC5	5HT.1	E4_noAncestry_noRin	2
MEGF8	5HT.1	E4_noAncestry_noRin	4
SCN3A	5HT.1	E4_noAncestry_noRin	3
PFDN4	5HT.1	E4_noAncestry_noRin	4
LINC00205	5HT.1	E4_noAncestry_noRin	1
ARPC1B	5HT.1	E4_noAncestry_noRin	2
KIF9	5HT.1	E4_noAncestry_noRin	2
KIF21A	5HT.1	E4_noAncestry_noRin	3
GLG1	5HT.1	E4_noAncestry_noRin	4
CDK2AP1	5HT.1	E4_noAncestry_noRin	4
BAALC	5HT.1	E4_noAncestry_noRin	4
UBE2Z	5HT.1	E4_noAncestry_noRin	3
ADAM11	5HT.1	E4_noAncestry_noRin	3
SAMD4B	5HT.1	E4_noAncestry_noRin	3
ECEL1	5HT.1	E4_noAncestry_noRin	4
TOGARAM1	5HT.1	E4_noAncestry_noRin	2
SEMA5A	5HT.1	E4_noAncestry_noRin	3
CHCHD5	5HT.1	E4_noAncestry_noRin	2
RYR2	5HT.1	E4_noAncestry_noRin	2
YLPM1	5HT.1	E4_noAncestry_noRin	2
CPEB3	5HT.1	E4_noAncestry_noRin	3
CNTNAP1	5HT.1	E4_noAncestry_noRin	4
YIPF2	5HT.1	E4_noAncestry_noRin	3
MFSD10	5HT.1	E4_noAncestry_noRin	2
DMAC1	5HT.1	E4_noAncestry_noRin	3
RAB11FIP3	5HT.1	E4_noAncestry_noRin	2
TMEM131	5HT.1	E4_noAncestry_noRin	2
PRDX4	5HT.1	E4_noAncestry_noRin	2
TBC1D10B	5HT.1	E4_noAncestry_noRin	2
TECPR1	5HT.1	E4_noAncestry_noRin	4
DMAC2	5HT.1	E4_noAncestry_noRin	2
GABRA3	5HT.1	E4_noAncestry_noRin	2
MRTFA	5HT.1	E4_noAncestry_noRin	2
FAAH	5HT.1	E4_noAncestry_noRin	2
IER3IP1	5HT.1	E4_noAncestry_noRin	3
SRCIN1	5HT.1	E4_noAncestry_noRin	3
H2AFX	5HT.1	E4_noAncestry_noRin	2
C6orf89	5HT.1	E4_noAncestry_noRin	3
MRPL40	5HT.1	E4_noAncestry_noRin	2
NUDT2	5HT.1	E4_noAncestry_noRin	2
GABRB3	5HT.1	E4_noAncestry_noRin	4
SEC61G	5HT.1	E4_noAncestry_noRin	4
CRYZ	5HT.1	E4_noAncestry_noRin	3
DDC	5HT.1	E4_noAncestry_noRin	4
HMGN1	5HT.1	E4_noAncestry_noRin	3
CALB2	5HT.1	E4_noAncestry_noRin	4
STOM	5HT.1	E4_noAncestry_noRin	3
SELENON	5HT.1	E4_noAncestry_noRin	2
MRPS18A	5HT.1	E4_noAncestry_noRin	2
WWC1	5HT.1	E4_noAncestry_noRin	2
TOLLIP	5HT.1	E4_noAncestry_noRin	3
DNAJB11	5HT.1	E4_noAncestry_noRin	2
CACNB2	5HT.1	E4_noAncestry_noRin	1
MRPS36	5HT.1	E4_noAncestry_noRin	3
PYURF	5HT.1	E4_noAncestry_noRin	3
TTLL12	5HT.1	E4_noAncestry_noRin	2
SMDT1	5HT.1	E4_noAncestry_noRin	3
IQSEC2	5HT.1	E4_noAncestry_noRin	2
MARCH6	5HT.1	E4_noAncestry_noRin	3
BCL6	5HT.1	E4_noAncestry_noRin	2
FEV	5HT.1	E4_noAncestry_noRin	3
COA5	5HT.1	E4_noAncestry_noRin	2
VIM	5HT.1	E4_noAncestry_noRin	2
KCTD12	5HT.1	E4_noAncestry_noRin	3
ZNF667	5HT.1	E4_noAncestry_noRin	2
CNKSR2	5HT.1	E4_noAncestry_noRin	4
ADGRL1	5HT.1	E4_noAncestry_noRin	4
GOLGA2	5HT.1	E4_noAncestry_noRin	2
YIPF4	5HT.1	E4_noAncestry_noRin	3
ESYT1	5HT.1	E4_noAncestry_noRin	2
DVL3	5HT.1	E4_noAncestry_noRin	2
HSPA1B	5HT.1	E4_noAncestry_noRin	3
LRIG1	5HT.1	E4_noAncestry_noRin	2
RGS4	5HT.1	E4_noAncestry_noRin	3
PCNT	5HT.1	E4_noAncestry_noRin	2
PPP6R2	5HT.1	E4_noAncestry_noRin	2
NDRG2	5HT.1	E4_noAncestry_noRin	4
ATG13	5HT.1	E4_noAncestry_noRin	3
NT5DC3	5HT.1	E4_noAncestry_noRin	2
SFT2D1	5HT.1	E4_noAncestry_noRin	2
TNPO3	5HT.1	E4_noAncestry_noRin	2
SNX2	5HT.1	E4_noAncestry_noRin	3
ERBB4	5HT.1	E4_noAncestry_noRin	2
LRP1	5HT.1	E4_noAncestry_noRin	1
ACBD7	5HT.1	E4_noAncestry_noRin	2
CLSTN3	5HT.1	E4_noAncestry_noRin	4
MRPL36	5HT.1	E4_noAncestry_noRin	2
NAA15	5HT.1	E4_noAncestry_noRin	2
ACOT13	5HT.1	E4_noAncestry_noRin	2
FAM177A1	5HT.1	E4_noAncestry_noRin	1
PSMC3	5HT.1	E4_noAncestry_noRin	3
KCND2	5HT.1	E4_noAncestry_noRin	2
PEX5	5HT.1	E4_noAncestry_noRin	2
COMT	5HT.1	E4_noAncestry_noRin	2
FTX	5HT.1	E4_noAncestry_noRin	2
PVALB	5HT.1	E4_noAncestry_noRin	2
TIMP3	5HT.1	E4_noAncestry_noRin	2
MEIS2	5HT.1	E4_noAncestry_noRin	2
LANCL1	5HT.1	E4_noAncestry_noRin	2
CACNG3	5HT.1	E4_noAncestry_noRin	2
PTPRU	5HT.1	E4_noAncestry_noRin	2
PLPPR2	5HT.1	E4_noAncestry_noRin	4
PTTG1IP	5HT.1	E4_noAncestry_noRin	2
NPEPPS	5HT.1	E4_noAncestry_noRin	3
PPDPF	5HT.1	E4_noAncestry_noRin	2
DCBLD2	5HT.1	E4_noAncestry_noRin	2
SLC35F6	5HT.1	E4_noAncestry_noRin	2
ECI2	5HT.1	E4_noAncestry_noRin	1
BRK1	5HT.1	E4_noAncestry_noRin	3
SEPTIN2	5HT.1	E4_noAncestry_noRin	2
RPA2	5HT.1	E4_noAncestry_noRin	2
RAB27B	5HT.1	E4_noAncestry_noRin	2
SETD5	5HT.1	E4_noAncestry_noRin	2
CRH	5HT.1	E4_noAncestry_noRin	2
NHLH2	5HT.1	E4_noAncestry_noRin	2
ENY2	5HT.1	E4_noAncestry_noRin	3
BASP1	5HT.1	E4_noAncestry_noRin	2
NOP10	5HT.1	E4_noAncestry_noRin	3
MRPS28	5HT.1	E4_noAncestry_noRin	2
UBALD2	5HT.1	E4_noAncestry_noRin	2
JOSD1	5HT.1	E4_noAncestry_noRin	2
UBQLN4	5HT.1	E4_noAncestry_noRin	2
IQSEC1	5HT.1	E4_noAncestry_noRin	3
KCNH2	5HT.1	E4_noAncestry_noRin	2
MRPS6	5HT.1	E4_noAncestry_noRin	2
MTMR9	5HT.1	E4_noAncestry_noRin	1
SBNO1	5HT.1	E4_noAncestry_noRin	2
BRD3OS	5HT.1	E4_noAncestry_noRin	3
DNM2	5HT.1	E4_noAncestry_noRin	2
PRXL2A	5HT.1	E4_noAncestry_noRin	4
PEX6	5HT.1	E4_noAncestry_noRin	1
MRPS9	5HT.1	E4_noAncestry_noRin	2
TMEM179	5HT.1	E4_noAncestry_noRin	3
JUND	5HT.1	E4_noAncestry_noRin	4
STAT2	5HT.1	E4_noAncestry_noRin	2
CELF5	5HT.1	E4_noAncestry_noRin	2
ZDHHC8	5HT.1	E4_noAncestry_noRin	2
WWP2	5HT.1	E4_noAncestry_noRin	2
DCN	5HT.1	E4_noAncestry_noRin	1
EBF1	5HT.1	E4_noAncestry_noRin	2
C12orf76	5HT.1	E4_noAncestry_noRin	2
NTRK2	5HT.1	E4_noAncestry_noRin	4
ZBTB8OS	5HT.1	E4_noAncestry_noRin	2
TATDN3	5HT.1	E4_noAncestry_noRin	2
UPK3BL1	5HT.1	E4_noAncestry_noRin	1
SLC6A11	5HT.1	E4_noAncestry_noRin	2
MRPL3	5HT.1	E4_noAncestry_noRin	2
TCEAL8	5HT.1	E4_noAncestry_noRin	2
EBNA1BP2	5HT.1	E4_noAncestry_noRin	2
EIF3H	5HT.1	E4_noAncestry_noRin	3
ABLIM2	5HT.1	E4_noAncestry_noRin	2
PTRHD1	5HT.1	E4_noAncestry_noRin	2
RSBN1	5HT.1	E4_noAncestry_noRin	2
ZNF37A	5HT.1	E4_noAncestry_noRin	2
GPR37L1	5HT.1	E4_noAncestry_noRin	2
C9orf24	5HT.1	E4_noAncestry_noRin	1
ATCAY	5HT.1	E4_noAncestry_noRin	4
HMGN3	5HT.1	E4_noAncestry_noRin	2
PLTP	5HT.1	E4_noAncestry_noRin	2
RBFOX2	5HT.1	E4_noAncestry_noRin	2
B3GAT2	5HT.1	E4_noAncestry_noRin	2
PLXDC2	5HT.1	E4_noAncestry_noRin	2
YIF1B	5HT.1	E4_noAncestry_noRin	2
MED10	5HT.1	E4_noAncestry_noRin	2
GASK1B	5HT.1	E4_noAncestry_noRin	2
ZDHHC21	5HT.1	E4_noAncestry_noRin	2
ITGB8	5HT.1	E4_noAncestry_noRin	2
STK32A	5HT.1	E4_noAncestry_noRin	2
RND2	5HT.1	E4_noAncestry_noRin	2
NT5DC2	5HT.1	E4_noAncestry_noRin	2
SEC61B	5HT.1	E4_noAncestry_noRin	2
DPP10	5HT.1	E4_noAncestry_noRin	2
ASIC1	5HT.1	E4_noAncestry_noRin	2
SIK2	5HT.1	E4_noAncestry_noRin	1
LEPROT	5HT.1	E4_noAncestry_noRin	2
LSM10	5HT.1	E4_noAncestry_noRin	1
SOX2	5HT.1	E4_noAncestry_noRin	2
MYBBP1A	5HT.1	E4_noAncestry_noRin	2
USP8	5HT.1	E4_noAncestry_noRin	2
CPSF7	5HT.1	E4_noAncestry_noRin	2
AGPAT2	5HT.1	E4_noAncestry_noRin	1
ALDH7A1	5HT.1	E4_noAncestry_noRin	2
GTF2A2	5HT.1	E4_noAncestry_noRin	2
LINC00461	5HT.1	E4_noAncestry_noRin	2
FBXO41	5HT.1	E4_noAncestry_noRin	2
MIAT	5HT.1	E4_noAncestry_noRin	3
NAP1L4	5HT.1	E4_noAncestry_noRin	3
NAA10	5HT.1	E4_noAncestry_noRin	2
GNG10	5HT.1	E4_noAncestry_noRin	2
NCEH1	5HT.1	E4_noAncestry_noRin	2
BRI3BP	5HT.1	E4_noAncestry_noRin	2
GALNT9	5HT.1	E4_noAncestry_noRin	2
RIT2	5HT.1	E4_noAncestry_noRin	2
SCN8A	5HT.1	E4_noAncestry_noRin	2
NEAT1	5HT.1	E4_noAncestry_noRin	1
TSC22D4	5HT.1	E4_noAncestry_noRin	3
OMG	5HT.1	E4_noAncestry_noRin	3
MAPK3	5HT.1	E4_noAncestry_noRin	2
SEZ6	5HT.1	E4_noAncestry_noRin	1
GABRG1	5HT.1	E4_noAncestry_noRin	2
AMOTL1	5HT.1	E4_noAncestry_noRin	1
TOP2B	5HT.1	E4_noAncestry_noRin	2
KAT5	5HT.1	E4_noAncestry_noRin	1
LYRM4	5HT.1	E4_noAncestry_noRin	2
DDX3Y	5HT.1	E4_noAncestry_noRin	4
PALM2-AKAP2	5HT.1	E4_noAncestry_noRin	2
ITGAV	5HT.1	E4_noAncestry_noRin	2
TNRC6A	5HT.1	E4_noAncestry_noRin	2
ZBTB47	5HT.1	E4_noAncestry_noRin	2
PHACTR1	5HT.1	E4_noAncestry_noRin	2
TCTEX1D2	5HT.1	E4_noAncestry_noRin	2
TSC22D3	5HT.1	E4_noAncestry_noRin	2
CDYL2	5HT.1	E4_noAncestry_noRin	2
AHCYL1	5HT.1	E4_noAncestry_noRin	3
SCRG1	5HT.1	E4_noAncestry_noRin	2
CMC2	5HT.1	E4_noAncestry_noRin	2
LMTK3	5HT.1	E4_noAncestry_noRin	2
CNNM1	5HT.1	E4_noAncestry_noRin	1
FAF2	5HT.1	E4_noAncestry_noRin	2
RAB11B	5HT.1	E4_noAncestry_noRin	3
TEF	5HT.1	E4_noAncestry_noRin	2
ASRGL1	5HT.1	E4_noAncestry_noRin	2
DNAJC18	5HT.1	E4_noAncestry_noRin	1
RP9	5HT.1	E4_noAncestry_noRin	2
CCNDBP1	5HT.1	E4_noAncestry_noRin	1
SLC18B1	5HT.1	E4_noAncestry_noRin	2
MTRNR2L10	5HT.1	E4_noAncestry_noRin	4
UBTF	5HT.1	E4_noAncestry_noRin	2
